CASENUM,VEH_NO,PER_NO,REGION,PSU,PJ,PSU_VAR,URBANICITY,STRATUM,NMIMPAIR,PSUSTRAT,WEIGHT
201800397628,0,1,4,56,208,208,1,2,0,20,34.194551581
201800398255,0,1,3,70,138,70,2,2,0,16,30.234815918
201800410857,0,1,4,46,362,46,1,2,0,22,32.839231115
201800411338,0,1,3,48,85,48,1,2,0,12,30.018111051
201800413811,0,1,4,64,305,64,1,2,0,23,35.645192618
201800413921,0,1,4,49,262,49,1,2,0,21,37.402434265
201800417955,0,1,3,51,1117,51,1,2,99,10,31.231511911
201800418848,0,1,4,56,211,211,1,2,0,20,34.194551575
201800422239,0,1,2,77,641,77,2,2,0,9,74.492596604
201800422566,0,1,3,52,587,52,2,2,0,18,30.812339973
201800423810,0,1,3,62,543,62,2,2,0,18,28.149147394
201800423983,0,1,4,49,260,49,1,2,0,21,37.402434265
201800424347,0,1,4,56,209,209,1,2,0,20,34.194551573
201800426176,0,1,3,62,567,62,2,2,0,18,28.149147399
201800426361,0,1,3,62,565,62,2,2,9,18,37.815280992
201800426584,0,1,4,64,305,64,1,2,0,23,35.645192618
201800426629,0,1,4,49,261,49,1,2,0,21,37.402434265
201800426692,0,1,4,49,262,49,1,2,99,21,37.402434265
201800426763,0,1,2,77,641,77,2,2,0,9,74.492596604
201800426879,0,1,4,56,210,210,1,2,0,20,34.194551575
201800427340,0,1,4,49,268,49,1,2,0,21,37.40243427
201800428921,0,1,2,67,1919,67,1,2,10,8,29.355432269
201800429110,0,1,4,10,329,10,1,2,0,21,37.181173577
201800429811,0,1,4,68,4055,68,1,2,0,23,34.195372129
201800429811,0,2,4,68,4055,68,1,2,0,23,34.195372129
201800429811,0,3,4,68,4055,68,1,2,0,23,34.195372129
201800429876,0,1,3,38,573,38,1,2,0,14,29.465141091
201800432429,0,1,2,58,3248,58,1,2,0,6,28.40778437
201800433863,0,1,2,47,2035,47,2,2,0,9,37.167709974
201800434087,0,1,4,46,338,46,1,2,0,22,67.142861424
201800434424,0,1,2,67,1919,67,1,2,0,8,29.355432269
201800435092,0,1,3,63,2825,63,2,2,0,16,30.363634909
201800435472,0,1,2,67,1919,67,1,2,9,8,29.355432269
201800435823,0,1,3,55,1055,55,2,2,0,17,30.007802962
201800436150,0,1,2,27,896,27,1,2,0,6,31.292806686
201800436173,0,1,4,64,308,64,1,2,0,23,35.645192618
201800436341,0,1,4,49,261,49,1,2,0,21,37.402434265
201800436438,0,1,4,10,318,10,1,2,0,21,37.181173585
201800436666,0,1,3,38,573,38,1,2,0,14,29.465141091
201800437365,0,1,3,51,1098,51,1,2,0,10,29.856290984
201800437492,0,1,4,46,337,46,1,2,0,22,32.839231121
201800439005,0,1,3,38,578,38,1,2,0,14,29.465141091
201800440020,0,1,3,30,3296,30,1,2,0,14,31.164931506
201800440303,0,1,4,49,268,49,1,2,0,21,37.40243427
201800440680,0,1,4,56,214,214,1,2,0,20,34.194551571
201800441024,0,1,3,51,1078,51,1,2,0,10,29.856290984
201800441551,0,1,3,65,2851,65,1,2,0,13,31.230780612
201800443735,0,1,2,27,893,27,1,2,99,6,29.160218228
201800443790,0,1,2,67,1919,67,1,2,0,8,29.355432269
201800444532,0,1,1,13,1163,13,1,2,0,3,50.347535943
201800444719,0,1,3,38,573,38,1,2,0,14,29.465141091
201800445588,0,1,3,48,87,48,1,2,99,12,30.018111051
201800445724,0,1,3,48,90,48,1,2,0,12,30.018111051
201800445919,0,1,3,70,136,70,2,2,0,16,30.234815918
201800446361,0,1,2,27,893,27,1,2,0,6,29.160218228
201800446639,0,1,3,17,1053,17,1,2,0,15,30.026404122
201800447799,0,1,2,67,1919,67,1,2,0,8,29.355432269
201800449206,0,1,4,46,336,46,1,2,0,22,32.839231133
201800449603,0,1,4,41,159,41,1,2,0,22,32.443859181
201800450152,0,1,4,41,159,41,1,2,0,22,32.443859181
201800450559,0,1,3,51,1098,51,1,2,0,10,29.856290984
201800451451,0,1,3,33,1482,33,1,2,0,11,29.911863383
201800451691,0,1,3,55,1056,55,2,2,9,17,94.908844637
201800452317,0,1,3,17,1053,17,1,2,0,15,30.026404122
201800452572,0,1,3,65,2851,65,1,2,0,13,31.230780612
201800452856,0,1,2,67,1919,67,1,2,0,8,29.355432269
201800452948,0,1,1,13,1208,13,1,2,96,3,32.071875576
201800453328,0,1,3,51,1080,51,1,2,0,10,29.85629099
201800455866,0,1,3,33,1484,33,1,2,0,11,29.911863383
201800456151,0,1,3,65,2851,65,1,2,0,13,31.230780612
201800457278,0,1,4,41,165,41,1,2,0,22,41.952670558
201800457359,0,1,4,24,170,24,2,2,0,24,28.682796375
201800457393,0,1,4,41,159,41,1,2,0,22,32.443859181
201800457630,0,1,3,65,2851,65,1,2,0,13,31.230780612
201800458142,0,1,3,51,1078,51,1,2,0,10,29.856290984
201800458142,0,2,3,51,1078,51,1,2,0,10,29.856290984
201800458815,0,1,3,48,87,48,1,2,8,12,30.018111051
201800459398,0,1,2,67,1919,67,1,2,9,8,29.355432269
201800459915,0,1,3,38,573,38,1,2,0,14,29.465141091
201800460143,0,1,4,49,260,49,1,2,98,21,37.402434265
201800460268,0,1,3,17,1053,17,1,2,0,15,30.026404122
201800460345,0,1,4,41,161,41,1,2,0,22,32.443859194
201800460807,0,1,2,67,1919,67,1,2,0,8,29.355432269
201800461362,0,1,4,49,261,49,1,2,0,21,37.402434265
201800461643,0,1,4,68,4055,68,1,2,0,23,34.195372129
201800462595,0,1,2,77,640,77,2,2,0,9,37.799597682
201800462934,0,1,4,41,159,41,1,2,0,22,32.443859181
201800462974,0,1,2,67,1919,67,1,2,0,8,29.355432269
201800462983,0,1,2,25,2018,25,1,2,0,8,29.292208031
201800463024,0,1,4,41,159,41,1,2,0,22,32.443859181
201800463056,0,1,3,62,598,62,2,2,0,18,28.14914739
201800463695,0,1,3,51,1098,51,1,2,0,10,29.856290984
201800465046,0,1,2,67,1919,67,1,2,0,8,29.355432269
201800465108,0,1,3,17,1053,17,1,2,0,15,30.026404122
201800465971,0,1,2,47,2035,47,2,2,0,9,37.167709974
201800467138,0,1,3,70,138,70,2,2,99,16,30.234815918
201800467261,0,1,3,30,3294,30,1,2,99,14,32.600430175
201800467348,0,1,3,33,1484,33,1,2,0,11,29.911863383
201800467752,0,1,3,65,2851,65,1,2,0,13,31.230780612
201800468211,0,1,4,46,336,46,1,2,0,22,32.839231133
201800468385,0,1,3,83,2810,83,1,2,99,13,30.224298697
201800468687,0,1,3,51,1098,51,1,2,0,10,29.856290984
201800469369,0,1,4,49,262,49,1,2,0,21,37.402434265
201800470248,0,1,4,41,163,41,1,2,0,22,32.443859181
201800470396,0,1,4,10,329,10,1,2,0,21,37.181173577
201800470524,0,1,3,51,1098,51,1,2,0,10,29.856290984
201800470979,0,1,4,41,159,41,1,2,0,22,32.443859181
201800471009,0,1,4,41,159,41,1,2,0,22,32.443859181
201800471239,0,1,3,38,573,38,1,2,0,14,29.465141091
201800471487,0,1,4,60,245,60,1,2,0,21,37.526764809
201800471490,0,1,4,60,245,60,1,2,0,21,37.526764809
201800471777,0,1,4,56,211,211,1,2,0,20,34.194551575
201800472304,0,1,3,83,2810,83,1,2,98,13,30.224298697
201800472311,0,1,4,46,337,46,1,2,0,22,32.839231121
201800472332,0,1,3,17,1053,17,1,2,0,15,30.026404122
201800472348,0,1,4,60,232,60,1,2,0,21,37.52676481
201800472678,0,1,4,46,337,46,1,2,0,22,32.839231121
201800472761,0,1,4,49,268,49,1,2,99,21,37.40243427
201800472876,0,1,3,65,2855,65,1,2,0,13,31.230780622
201800473244,0,1,3,51,1078,51,1,2,0,10,29.856290984
201800474197,0,1,4,56,211,211,1,2,6,20,34.194551575
201800474423,0,1,4,68,297,68,1,2,0,23,34.195372112
201800474802,0,1,2,25,2091,25,1,2,0,8,66.818434077
201800474988,0,1,3,33,1484,33,1,2,0,11,29.911863383
201800475275,0,1,4,68,4056,68,1,2,0,23,34.195372126
201800475287,0,1,3,83,2810,83,1,2,98,13,30.224298697
201800475494,0,1,2,47,2034,47,2,2,10,9,37.167709974
201800475607,0,1,4,41,159,41,1,2,0,22,32.443859181
201800475666,0,1,4,10,329,10,1,2,0,21,37.181173577
201800476230,0,1,2,58,3248,58,1,2,10,6,28.40778437
201800476259,0,1,2,58,3248,58,1,2,98,6,28.40778437
201800476576,0,1,2,58,3248,58,1,2,0,6,28.40778437
201800476680,0,1,2,58,3248,58,1,2,0,6,28.40778437
201800476701,0,1,2,58,3245,58,1,2,0,6,28.407784366
201800476715,0,1,2,58,3245,58,1,2,0,6,28.407784366
201800477447,0,1,3,52,591,52,2,2,0,18,28.406522856
201800477541,0,1,3,38,573,38,1,2,0,14,29.465141091
201800477739,0,1,2,27,896,27,1,2,0,6,31.292806686
201800477818,0,1,4,10,322,10,1,2,0,21,37.181173567
201800477992,0,1,3,83,2810,83,1,2,98,13,30.224298697
201800478173,0,1,4,60,234,60,1,2,0,21,37.526764807
201800478773,0,1,4,56,205,205,1,2,0,20,34.194551566
201800478789,0,1,4,56,205,205,1,2,99,20,34.194551566
201800478811,0,1,4,56,205,205,1,10,0,20,265.23227316
201800479381,0,1,4,56,210,210,1,2,0,20,34.194551575
201800479595,0,1,4,64,307,64,1,2,0,23,35.645192618
201800479855,0,1,4,46,362,46,1,2,0,22,32.839231115
201800480389,0,1,4,46,336,46,1,2,0,22,32.839231133
201800480526,0,1,4,41,159,41,1,2,0,22,32.443859181
201800481180,0,1,3,33,1460,33,1,2,0,11,29.911863383
201800481273,0,1,4,46,336,46,1,2,0,22,32.839231133
201800481357,0,1,3,33,1459,33,1,2,0,11,29.911863386
201800481485,0,1,2,27,893,27,1,2,0,6,29.160218228
201800481739,0,1,3,54,526,54,1,2,98,14,47.644614097
201800481809,0,1,3,51,1098,51,1,2,0,10,29.856290984
201800482031,0,1,1,13,1208,13,1,2,0,3,32.071875576
201800482272,0,1,4,44,388,44,2,2,0,25,29.54188634
201800482540,0,1,4,60,234,60,1,2,0,21,37.526764807
201800482644,0,1,3,30,3296,30,1,2,0,14,31.164931506
201800482817,0,1,4,64,305,64,1,2,10,23,35.645192618
201800483157,0,1,4,44,388,44,2,2,0,25,29.54188634
201800483375,0,1,3,17,1053,17,1,2,0,15,30.026404122
201800483503,0,1,3,63,2907,63,2,2,9,16,30.363634909
201800484333,0,1,3,65,2851,65,1,2,0,13,31.230780612
201800484448,0,1,4,46,337,46,1,2,0,22,32.839231121
201800484507,0,1,2,67,1921,67,1,9,0,8,166.35565381
201800484564,0,1,4,46,337,46,1,2,0,22,32.839231121
201800484776,0,1,4,49,260,49,1,2,0,21,37.402434265
201800485713,0,1,3,33,1484,33,1,2,0,11,29.911863383
201800485888,0,1,3,63,2907,63,2,2,0,16,30.363634909
201800485931,0,1,1,50,1646,50,2,2,0,4,30.511115763
201800486586,0,1,1,34,1678,34,1,2,0,1,31.699880816
201800486621,0,1,1,34,1688,34,1,2,0,1,31.699880819
201800486721,0,1,4,41,159,41,1,2,0,22,32.443859181
201800486817,0,1,1,34,1688,34,1,2,0,1,31.699880819
201800486855,0,1,4,41,159,41,1,2,0,22,32.443859181
201800486865,0,1,1,34,1692,34,1,2,0,1,31.699880809
201800486878,0,1,4,60,234,60,1,2,0,21,37.526764807
201800486947,0,1,1,34,1692,34,1,2,0,1,31.699880809
201800487011,0,1,4,60,234,60,1,2,0,21,37.526764807
201800487036,0,1,1,34,1692,34,1,2,0,1,31.699880809
201800487084,0,1,1,34,1684,34,1,2,0,1,31.69988082
201800487134,0,1,1,34,1695,34,1,2,0,1,31.699880805
201800487143,0,1,1,34,1695,34,1,2,0,1,31.699880805
201800487322,0,1,3,32,2782,32,2,8,0,17,160.62937696
201800487322,0,2,3,32,2782,32,2,8,0,17,160.62937696
201800487825,0,1,4,44,388,44,2,2,0,25,29.54188634
201800488048,0,1,3,62,618,62,2,2,0,18,28.149147405
201800488617,0,1,4,41,165,41,1,2,0,22,32.443859185
201800488755,0,1,3,17,1053,17,1,2,0,15,30.026404122
201800500000,0,1,3,65,2854,65,1,2,0,13,31.230780602
201800500210,0,1,2,67,1920,67,1,2,0,8,29.35543227
201800500260,0,1,4,24,170,24,2,2,0,24,28.682796375
201800503363,0,1,1,76,2286,76,1,2,0,2,31.925903267
201800503418,0,1,1,81,3119,81,2,2,98,4,30.389224142
201800503825,0,1,4,10,329,10,1,2,0,21,37.181173577
201800503857,0,1,3,51,1098,51,1,2,0,10,29.856290984
201800505059,0,1,4,41,159,41,1,2,99,22,32.443859181
201800505140,0,1,4,41,159,41,1,2,99,22,32.443859181
201800505601,0,1,4,49,261,49,1,2,0,21,37.402434265
201800505634,0,1,4,49,262,49,1,2,9,21,37.402434265
201800506287,0,1,4,46,362,46,1,2,0,22,32.839231115
201800506864,0,1,4,56,206,206,1,2,0,20,34.194551566
201800507005,0,1,4,49,4015,49,1,2,0,21,37.402434265
201800507633,0,1,2,29,970,29,1,2,98,7,29.900148783
201800507951,0,1,1,13,1207,13,1,2,0,3,32.071875587
201800508062,0,1,1,76,2286,76,1,2,0,2,31.925903267
201800508396,0,1,3,35,2799,35,1,2,0,13,29.692967959
201800509226,0,1,3,38,573,38,1,2,0,14,30.822345129
201800509237,0,1,3,62,542,62,2,2,0,18,28.149147407
201800509662,0,1,4,46,338,46,1,2,0,22,67.142861424
201800509702,0,1,4,46,338,46,1,2,0,22,67.142861424
201800509899,0,1,2,77,641,77,2,2,0,9,74.492596604
201800510207,0,1,3,48,87,48,1,2,99,12,30.018111051
201800510589,0,1,3,33,1484,33,1,2,0,11,29.911863383
201800510834,0,1,4,60,232,60,1,2,0,21,37.52676481
201800510890,0,1,4,60,232,60,1,2,0,21,37.52676481
201800511074,0,1,3,62,565,62,2,2,0,18,37.815280992
201800511074,0,2,3,62,565,62,2,2,0,18,37.815280992
201800511356,0,1,2,29,966,29,1,2,98,7,29.900148794
201800511419,0,1,1,13,1191,13,1,2,0,3,32.071875579
201800511523,0,1,3,51,1098,51,1,2,0,10,29.856290984
201800511523,0,2,3,51,1098,51,1,2,0,10,29.856290984
201800511769,0,1,3,63,2907,63,2,2,0,16,30.363634909
201800511787,0,1,3,55,1075,55,2,2,98,17,30.007802979
201800512004,0,1,4,24,170,24,2,2,0,24,28.682796375
201800512061,0,1,4,56,206,206,1,2,0,20,34.194551566
201800512065,0,1,4,41,161,41,1,2,0,22,32.443859194
201800512584,0,1,3,63,2907,63,2,2,0,16,30.363634909
201800512658,0,1,4,44,388,44,2,2,0,25,29.54188634
201800512709,0,1,3,38,568,38,1,2,0,14,29.465141085
201800512989,0,1,3,55,1055,55,2,2,0,17,30.007802962
201800513261,0,1,3,51,1079,51,1,2,99,10,31.231511913
201800513951,0,1,3,83,2810,83,1,2,98,13,30.224298697
201800514024,0,1,4,49,260,49,1,2,0,21,37.402434265
201800514055,0,1,4,49,260,49,1,2,0,21,37.402434265
201800514090,0,1,3,38,573,38,1,2,0,14,29.465141091
201800514231,0,1,3,17,1053,17,1,2,0,15,30.026404122
201800516276,0,1,4,44,388,44,2,2,0,25,29.54188634
201800516297,0,1,4,60,234,60,1,2,0,21,37.526764807
201800516380,0,1,4,60,245,60,1,2,0,21,37.526764809
201800516403,0,1,4,60,245,60,1,2,0,21,37.526764809
201800516529,0,1,4,60,234,60,1,2,0,21,37.526764807
201800516603,0,1,1,13,1208,13,1,2,0,3,32.071875576
201800516645,0,1,1,13,1208,13,1,2,98,3,32.071875576
201800516756,0,1,3,65,2851,65,1,2,0,13,31.230780612
201800516810,0,1,4,56,206,206,1,2,9,20,34.194551566
201800517256,0,1,3,62,543,62,2,2,0,18,28.149147394
201800517395,0,1,3,63,4047,63,2,2,0,16,30.363634909
201800517868,0,1,4,46,336,46,1,2,0,22,32.839231133
201800517971,0,1,3,35,2793,35,1,2,0,13,29.692967965
201800518089,0,1,4,56,206,206,1,2,0,20,34.194551566
201800518893,0,1,3,32,2763,32,2,2,99,17,53.953561119
201800518933,0,1,1,13,1207,13,1,2,9,3,32.071875587
201800519370,0,1,1,66,1762,66,1,2,0,1,31.210065828
201800519375,0,1,1,66,1763,66,1,2,0,1,31.210065826
201800519526,0,1,3,82,2152,82,2,2,0,19,27.968941772
201800519731,0,1,4,68,295,68,1,2,0,23,34.195372119
201800519962,0,1,3,33,1484,33,1,2,0,11,29.911863383
201800520115,0,1,4,64,307,64,1,2,0,23,35.645192618
201800520186,0,1,1,66,1764,66,1,2,0,1,31.210065816
201800520203,0,1,1,66,1764,66,1,2,0,1,31.210065816
201800520210,0,1,3,83,2810,83,1,2,98,13,30.224298697
201800520236,0,1,1,66,1764,66,1,2,0,1,31.210065816
201800520541,0,1,1,66,1750,66,1,2,0,1,31.210065816
201800520640,0,1,3,51,1098,51,1,2,0,10,29.856290984
201800520703,0,1,3,51,1098,51,1,2,99,10,29.856290984
201800520894,0,1,4,56,206,206,1,2,0,20,34.194551566
201800520912,0,1,1,66,1757,66,1,2,0,1,31.210065826
201800520912,0,2,1,66,1757,66,1,2,0,1,31.210065826
201800521089,0,1,2,39,1374,39,1,2,0,7,28.030309112
201800521279,0,1,2,39,1374,39,1,2,0,7,28.030309112
201800521962,0,1,2,39,1374,39,1,2,0,7,28.030309108
201800521962,0,2,2,39,1374,39,1,2,0,7,28.030309108
201800522174,0,1,1,72,1723,72,1,2,0,1,31.388232717
201800522224,0,1,2,39,1374,39,1,2,0,7,28.030309108
201800522480,0,1,1,72,1723,72,1,2,0,1,31.388232717
201800522516,0,1,1,72,1723,72,1,2,0,1,31.388232717
201800524804,0,1,3,48,87,48,1,2,0,12,30.018111051
201800525187,0,1,3,17,1036,17,1,2,0,15,30.026404122
201800526257,0,1,1,13,1207,13,1,2,96,3,32.071875587
201800526259,0,1,1,72,1723,72,1,2,0,1,31.388232717
201800526288,0,1,3,17,1053,17,1,2,0,15,30.026404122
201800526323,0,1,1,72,1736,72,1,2,0,1,31.388232727
201800526457,0,1,3,51,1078,51,1,2,0,10,29.856290984
201800526532,0,1,3,17,1053,17,1,2,0,15,30.026404122
201800526688,0,1,1,66,1762,66,1,2,0,1,31.210065828
201800526696,0,1,1,66,1762,66,1,2,0,1,31.210065828
201800526700,0,1,1,66,1762,66,1,2,0,1,31.210065828
201800526712,0,1,1,66,1763,66,1,2,0,1,31.210065826
201800526717,0,1,1,66,1763,66,1,2,0,1,31.210065826
201800527130,0,1,3,65,2851,65,1,2,0,13,31.230780612
201800527447,0,1,2,67,1919,67,1,2,0,8,29.355432269
