CASENUM,VEH_NO,REGION,PSU,PJ,PSU_VAR,URBANICITY,STRATUM,PVE_FORMS,PNUMOCCS,PMONTH,PHOUR,PMINUTE,PHARM_EV,PMAN_COLL,PTYPE,PHIT_RUN,PMAKE,PMODEL,PMAK_MOD,PBODYTYP,PMODYEAR,PVIN,PTRAILER,PMCARR_I1,PMCARR_I2,PMCARR_ID,PGVWR,PV_CONFIG,PCARGTYP,PHAZ_INV,PHAZPLAC,PHAZ_ID,PHAZ_CNO,PHAZ_REL,PBUS_USE,PSP_USE,PEM_USE,PIMPACT1,PVEH_SEV,PTOWED,PM_HARM,PVEH_SC1,PVEH_SC2,PFIRE,PTRLR1VIN,PTRLR2VIN,PTRLR3VIN,PSUSTRAT,WEIGHT
201800398076,2,3,48,87,48,1,7,1,0,1,13,10,14,0,2,0,7,482,7482,34,2010,1D7RB1CT9AS2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,10,2,5,12,0,0,0,777777777777,777777777777,777777777777,12,132.18500855
201800399657,2,4,49,260,49,1,10,1,1,1,21,12,14,0,2,0,13,16,13016,6,2014,2LMHJ5AT8EBL,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,1,0,6,4,3,12,0,0,0,777777777777,777777777777,777777777777,21,287.4625676
201800399657,3,4,49,260,49,1,10,1,0,1,21,12,14,0,2,0,55,33,55033,4,2007,5NPEU46F17H1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,10,2,5,12,0,0,0,777777777777,777777777777,777777777777,21,287.4625676
201800399657,4,4,49,260,49,1,10,1,0,1,21,12,14,0,2,0,34,34,34034,4,2010,WBAPN7C55AA2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,7,2,5,12,0,0,0,777777777777,777777777777,777777777777,21,287.4625676
201800399657,5,4,49,260,49,1,10,1,0,1,21,12,14,0,2,0,37,31,37031,4,2002,1HGES26722L0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,2,5,12,0,0,0,777777777777,777777777777,777777777777,21,287.4625676
201800411338,2,3,48,85,48,1,2,1,0,1,11,27,14,0,2,0,7,881,7881,61,2012,3C7WDKAL1CG1,5,57,1844970,571844970,2,1,96,1,0,0,0,0,0,0,0,6,2,5,12,42,0,0,777777777777,777777777777,777777777777,12,30.018111051
201800411535,2,3,70,138,70,2,10,1,0,1,14,30,14,0,2,0,37,32,37032,4,1995,1HGCD5649SA0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,11,2,5,12,0,0,0,777777777777,777777777777,777777777777,16,235.19710588
201800411564,2,3,70,46,70,2,10,1,1,1,14,40,14,0,2,0,41,50,41050,4,2016,JM1GJ1U55G14,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,10,4,5,12,0,0,0,777777777777,777777777777,777777777777,16,235.19710588
201800413811,2,4,64,305,64,1,2,1,0,1,18,38,14,0,2,0,34,706,34706,80,2016,WB10A1309GZ1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,5,0,6,2,3,12,0,0,0,777777777777,777777777777,777777777777,23,35.645192618
201800413811,3,4,64,305,64,1,2,1,2,1,18,38,14,0,2,0,42,42,42042,9,2014,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,2,5,12,0,0,0,777777777777,777777777777,777777777777,23,35.645192618
